컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
강남구-신사개나리공원-1,신사개나리공원,1.17E+18,서울특별시 강남구 신사동 609-3,,서울특별시 강남구 압구정로32길 32,127.0295556,37.52555556,공원명,,,,,,,,,,,,,,,,,,,
동부녹지-서울숲공원-1,서울숲공원,,서울특별시 성동구 성수동1가 685-20,,서울특별시 성동구 뚝섬로 273,127.0394722,37.54633333,공원명,,,,,,,,,,,,,,,,,,,
성북구-고암어린이공원-1,고암어린이공원,1.13E+18,서울특별시 성북구 종암동 133-5,,서울특별시 성북구 종암로25길 17,127.0317904,37.59990341,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-20,현충원,,서울특별시 동작구 동작동 256-5,1.16E+21,,126.9731784,37.49674026,공원명,,,,,,,,,,,,,,,,,,,
서초구-신반포공원-1,신반포근린공원,,서울특별시 서초구 반포동 18-5,,,126.9981111,37.50088889,공원명,,,,,,,,,,,,,,,,,,,
마포구-성황당어린이공원-1,성황당어린이공원,1.14E+18,서울특별시 마포구 성산동 산 41-2,,서울특별시 마포구 월드컵북로 198-17,126.9073056,37.56905556,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광천 음수대-2,불광천 음수대,1.14E+18,서울특별시 은평구 응암동 113-35,,서울특별시 은평구 불광천길 536,126.9161389,37.59797222,공원명,,,,,,,,,,,,,,,,,,,
서부녹지-여의도공원-1,여의도공원,1.16E+18,서울특별시 영등포구 여의도동 2,,서울특별시 영등포구 여의공원로 68,126.92,37.52416667,공원명,,,,,,,,,,,,,,,,,,,
동부녹지-서울숲공원-6,서울숲공원,,서울특별시 성동구 성수동1가 685-6,,서울특별시 성동구 서울숲2길 8-15,127.0393333,37.54352778,공원명,,,,,,,,,,,,,,,,,,,
은평구-불광 어린이공원-1,불광 어린이공원,,서울특별시 은평구 불광동 246-1,,서울특별시 은평구 불광로9가길 1,126.9313333,37.61638889,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-21,현충원,,서울특별시 동작구 동작동 267-2,1.16E+21,,126.9713824,37.49634014,공원명,,,,,,,,,,,,,,,,,,,
국립서울현충원-현충원-25,현충원,,서울특별시 동작구 동작동 290,1.16E+21,서울특별시 동작구 현충로 210,126.967772,37.4965673,공원명,,,,,,,,,,,,,,,,,,,
서대문구-불광천 음수대-1,불광천 음수대,,서울특별시 서대문구 북가좌동 344-26,1.14E+21,서울특별시 서대문구 불광천길 166,126.9092033,37.5825637,공원명,,,,,,,,,,,,,,,,,,,
서부녹지-여의도공원-3,여의도공원,1.16E+18,서울특별시 영등포구 여의도동 2,,서울특별시 영등포구 여의공원로 68,126.9191667,37.52472222,공원명,,,,,,,,,,,,,,,,,,,
